Designator,Mid X,Mid Y,Rotation,Layer
C1,203.4,-114.8,90.0,top
C2,202.0,-114.8,270.0,top
C3,198.4,-112.3,270.0,top
C4,200.3,-117.6,270.0,top
J1,194.7,-119.68,180.0,top
J2,224.7,-119.75,180.0,top
J3,220.0,-115.9,90.0,top
J4,212.9,-115.8,270.0,top
R1,197.4,-115.225,270.0,top
R2,198.9,-115.225,270.0,top
R3,205.1,-114.6,270.0,top
R4,207.9,-114.625,270.0,top
R5,209.7,-114.625,270.0,top
U1,204.775,-118.905,270.0,top
U2,201.05,-112.25,270.0,top
